Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.2018,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18
SPIALB_SH_8,4,,,,,7,9,11,11,11,11,15,15,17,19,19,19,,,,,,,,,55,55,57,57,59,64,67,67,67,67,67,69,71,71,71,74,74,79,81,84,84
MYRGAL_SH_1B,4,,,,,,,,,,,,9,11,"65-F,15","67-F,17","67-F,17",67,69,,,,,,71,75,75,78,78,79,79,81,81,,"81,100","81,100","83,100","83,100","83,100","83,100","85,101",85,85,86,87,87
SPIALB_GR_3,4,,,,,7,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,,55,55,55,55,55,59,64,67,67,67,69,71,72,73,73,76,76,81,85,86,87
VIBCAS_WM_4,4,,,,,,,,,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,
VIBCAS_GR_12A,4,,,,,,,,,9,9,11,11,15,17,"51,19","51,19",51,51,55,55,55,65,67,67,71,71,72,74,75,76,78,78,"81, 100","81,100","81,101","81,100","81,100","81,101","81,101",85,85,86,86,88,88
MYRGAL_WM_6A,4,,,,,,,,,,,,9,9,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,100,100,100,101,,,
AROMEL_WM_15,4,,,,,,7,9,9,9,11,11,15,15,"51,17","60,19","61,19",65,65,67,67,69,71,71,72,72,72,72,,75,,,,,100,100,100,100,100,100,100,100,100,100,100,101
SPIALB_SH_4A,4,,,,,7,11,11,11,11,11,15,15,15,19,,19,,,,,,,,51,55,55,57,60,63,65,67,67,67,67,67,67,69,73,73,76,76,79,81,84,87
SPIALB_SH_7,4,,,,,7,11,11,11,11,11,15,15,15,19,,19,,,,,,,,51,55,55,57,59,61,64,67,67,67,67,67,69,71,73,73,78,78,79,81,84,"65,87"
MYRGAL_WM_6B,4,,,,,,,,,,,,9,11,"60-F,15",19,19,,,,,,,,,,,,,,,,,,,100,100,100,100,100,101,,,,,
SPIALB_GR_7,4,,,,,7,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,51,55,55,57,62,62,65,68,67,67,67,67,67,69,71,71,75,75,79,79,79,79
SPIALB_SH_4B,4,,,,,9,11,11,11,11,11,11,15,15,17,19,19,,,,,,,,51,55,55,61,61,64,64,67,67,67,67,67,69,71,73,73,76,76,79,79,79,79
SPIALB_WM_7A,4,,,,,7,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,,51,55,55,55,60,61,67,67,67,67,67,69,71,71,73,75,75,79,81,84,"67,87"
VIBCAS_GR_12B,4,,,,,,,,9,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,
MYRGAL_GR_8C,4,,,,,,,,,,,,11,11,15,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101
SPIALB_HF_8,4,,,,,7,11,11,11,11,11,11,15,15,17,19,19,,,,,,,,,51,55,57,57,59,59,60,64,67,67,67,67,67,71,73,76,76,79,81,84,85
SPITOM_WM_5D,4,,,,,7,11,11,11,11,11,11,11,15,17,19,19,,,,,,,,,51,51,55,55,55,55,59,61,65,67,67,69,71,71,73,75,75,79,81,84,85
SPIALB_SH_1,4,,,,,7,9,9,11,11,11,11,15,17,17,19,19,,,,,,,,,51,55,57,57,61,64,66,67,71,71,71,71,71,73,73,75,75,79,81,84,85
MYRGAL_SH_2B,4,,,,,60-M,60-M,62-M,62-M,65-M,65-M,67,69,11,15,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,"101,100-m","101,101-m",,,,,,
VIBCAS_SH_5,4,,,,,,,,15-D?,9,9,9,11,11,"51,17","51,19","51,19",51,51,57,57,57,57,61,65,67,67,69,71,73,74,77,78,79,"81,100","81,100","81,100","81,100","81,100","81,100","85,100","85,100","85,101",85,85,85
MYRGAL_GR_8D,4,,,,,,,,,,,,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,101
SPIALB_WM_7B,4,,,,",7",7,9,11,11,11,11,11,15,17,19,,19,,,,,,,55,55,57,57,62,65,67,67,68,68,67,67,67,69,71,73,73,78,78,79,81,84,"67,86"
SPITOM_WM_5E,4,,,,rep,,7,9,9,11,11,11,11,15,17,19,19,,,,,,,,,,51,51,51,55,55,59,59,62,65,67,67,69,71,71,75,75,79,81,84,86
AROMEL_HF_4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AROMEL_WM_5,4,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101
SPIALB_SH_9B,4,,,,",7",7,11,11,11,11,11,11,15,17,19,,19,,,,,,,,51,55,55,59,59,62,65,67,67,71,71,71,71,71,71,71,75,75,74,77,"69,74","67,84"
VIBCAS_GR_10,4,,,,",15",,15-D,15-D,15-D,11,11,11,15,15,17,19,19,,,,,,,,,,,,,,,,,100,100,101,101,,,,,,,,,
BETPAP_GR_8,5,,,,",7",7,7,9,9,9,9,9,9,9,15,17,17,17,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100
BETALL_WM_8A,5,,,,,,,7,7,9,9,9,9,9,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
BETALL_WM_9,5,,,,,,,7,7,7,7,7,9,9,9,15,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
ACEPEN_HF_12,5,,,,rep,,,,,,,,,,,,15,17,"51,17","55,17","60,17","62,17","69,17","71,19",71,72,72,,,,,,,,,,,,,,100,100,100,,,
AMECAN_GR_10A,5,,,,,,,7,7,9,9,11,11,"51,11","51,15","60,19","67,19",69,71,,75,78,78,79,79,79,79,79,79,,,,100,100,100,101,,,,,,,,,,
